Humidities,Rain_mean,Rain_std,Size_mean,Size_std,Total_drops_mean,Total_drops_std,Max_drop_mean,Max_drop_std
0.05,0.0,0.0,2.0,0.0,129.1275,2.3589179193011365,6.2375,0.9350635005174781
0.15000000000000002,0.0,0.0,2.1399999999999997,0.11357816691600543,336.3825,3.120808188594743,9.694999999999999,1.20394144375879
0.25000000000000006,0.005,0.02179449471770337,2.6925,0.03455068740271313,511.89,5.799517221286615,12.14,1.5655350523063989
0.35000000000000003,0.1075,0.08771402396424416,2.9924999999999997,0.06077622890571615,661.975,6.269120751748212,14.580000000000002,1.6146516652207064
0.45000000000000007,0.13999999999999999,0.11575836902790225,3.4875,0.05562148865321752,795.93,6.854604292006943,17.7,2.0542638584174138
0.5500000000000002,0.5599999999999999,0.157797338380595,3.9,0.10954451150103324,899.0400000000002,8.031805525534086,19.7725,1.5902810286235576
0.6500000000000001,0.72,0.18193405398660253,4.3100000000000005,0.09949874371066211,994.1850000000001,8.997070356510497,21.625,1.8177939927285487
0.7500000000000002,1.04,0.23323807579381203,4.904999999999999,0.10943034314119647,1078.145,10.140166418752687,22.9775,1.6027300926856027
0.8500000000000002,1.365,0.25352514668174436,5.352500000000001,0.086566448465904,1152.8425,7.693792546592353,25.692500000000003,2.4906211574625314
0.9500000000000002,1.8674999999999997,0.3093440641098516,5.845000000000001,0.1071214264281428,1217.875,9.127259994105575,26.4875,1.9639485100175107
