Time Step,Average droplet size,Rain Count,Total Drops,Max Drop Size
0,2,0,1800,4
1,3,0,1578,9
2,3,0,1437,12
3,3,0,1337,14
4,3,0,1219,16
5,4,0,1142,21
6,4,0,1069,21
7,4,1,1002,26
8,5,1,943,26
9,5,2,894,26
10,5,0,847,31
11,5,1,811,38
12,6,1,779,44
13,6,0,742,44
14,6,3,713,44
15,6,0,688,44
16,6,3,664,48
17,7,1,640,48
18,7,0,616,48
19,7,2,589,48
20,8,5,570,48
21,8,2,543,43
22,8,2,523,43
23,8,3,513,43
24,8,1,493,43
25,9,1,478,43
26,9,5,469,43
27,9,2,443,52
28,9,3,433,52
29,9,0,428,52
30,10,2,415,52
31,10,1,401,57
32,10,3,394,58
33,10,4,395,58
34,10,3,384,58
35,10,1,376,58
36,10,7,371,58
37,10,5,362,58
38,10,5,352,58
39,10,1,346,58
40,10,3,344,58
41,10,4,342,58
42,10,6,334,58
43,10,4,328,58
44,10,4,317,46
45,10,4,314,46
46,10,8,312,46
47,9,8,308,46
48,9,1,301,46
49,9,4,302,46
50,9,2,300,46
51,9,2,302,46
52,9,2,298,46
53,9,2,294,46
54,9,2,290,46
55,9,2,285,46
56,9,3,284,46
57,8,7,280,46
58,8,5,277,46
59,8,5,270,46
60,8,9,267,46
61,8,3,255,46
62,7,7,251,46
63,7,6,246,46
64,6,4,241,46
65,6,4,241,46
66,6,3,237,46
67,6,3,234,46
68,6,0,234,46
69,5,4,234,46
70,5,3,232,46
71,5,2,232,46
72,5,1,226,46
73,5,2,222,46
74,5,1,219,46
75,5,1,216,35
76,5,2,215,35
77,5,2,213,35
78,5,2,213,36
79,5,0,210,36
80,5,1,210,36
81,5,1,214,36
82,5,1,213,36
83,5,1,212,36
84,4,1,212,36
85,4,0,213,36
86,4,0,218,36
87,4,0,218,36
88,4,1,223,36
89,4,3,225,36
90,4,2,222,36
91,4,0,219,36
92,4,1,222,36
93,4,1,221,36
94,4,1,218,36
95,4,2,218,36
96,4,1,218,36
97,4,0,219,25
98,3,1,222,25
99,3,1,229,25
100,3,1,230,25
101,3,2,232,25
102,3,0,230,25
103,3,0,236,25
104,3,0,239,25
105,3,1,241,26
106,3,1,242,26
107,3,1,245,26
108,3,0,246,26
109,3,1,248,26
110,3,0,246,26
111,3,1,247,26
112,3,0,248,24
113,3,2,245,24
114,3,0,242,24
115,3,0,242,24
116,3,0,239,27
117,3,2,244,27
118,3,0,243,27
119,3,0,241,28
120,3,0,243,28
121,3,0,244,28
122,3,0,244,28
123,3,0,245,30
124,3,0,245,30
125,3,0,245,30
126,3,0,247,30
127,3,0,251,30
128,3,0,254,30
129,3,1,255,30
130,3,0,255,30
131,3,1,259,30
132,3,0,260,27
133,3,0,261,27
134,3,2,259,27
135,3,0,253,27
136,3,0,250,27
137,3,0,249,27
138,3,1,246,28
139,3,0,247,28
140,3,0,248,28
141,3,0,249,28
142,3,1,252,28
143,3,0,249,29
144,3,2,252,29
145,3,0,253,29
146,2,1,253,29
147,2,0,253,29
148,2,0,253,29
149,2,0,255,29
150,2,0,254,29
151,2,1,255,29
152,2,2,252,18
153,2,0,253,21
154,2,0,253,21
155,2,1,252,21
156,2,1,251,21
157,2,0,252,21
158,2,0,251,21
159,2,0,250,21
160,2,0,252,21
161,2,0,250,21
162,2,0,252,21
163,2,1,253,24
164,2,0,254,24
165,2,0,256,24
166,2,0,255,24
167,2,0,256,24
168,2,0,257,24
169,2,0,257,24
170,2,0,256,24
171,2,0,255,24
172,2,0,255,24
173,2,0,255,24
174,2,0,257,24
175,2,0,257,24
176,2,0,256,24
177,2,1,256,24
178,2,0,253,22
179,2,0,254,22
180,2,1,259,22
181,2,0,262,22
182,2,0,262,22
183,2,0,262,22
184,2,0,262,22
185,2,0,259,22
186,2,0,259,22
187,2,0,261,22
188,2,0,264,22
189,2,1,268,22
190,2,0,270,22
191,2,0,265,22
192,2,0,266,22
193,3,0,266,22
194,3,0,262,22
195,3,0,264,22
196,3,0,261,22
197,2,1,264,22
198,2,1,264,22
199,2,0,263,22
200,2,0,264,22
201,2,0,265,24
202,2,0,267,24
203,3,0,266,24
204,3,0,264,24
205,3,0,265,24
206,3,0,267,24
207,3,0,267,24
208,3,0,267,24
209,3,0,269,24
210,3,0,270,24
211,3,0,268,24
212,3,0,271,24
213,2,2,273,24
214,2,2,276,17
215,2,0,275,17
216,2,2,279,17
217,2,0,277,17
218,2,0,276,17
219,2,1,278,17
220,2,0,279,15
221,2,0,283,15
222,2,1,282,17
223,2,0,283,17
224,2,0,285,17
225,2,0,284,17
226,2,0,283,17
227,2,0,282,17
228,2,1,280,17
229,2,0,282,17
230,2,0,284,17
231,2,0,284,17
232,2,0,284,17
233,2,0,285,17
234,2,0,282,17
235,2,1,281,20
236,2,1,282,20
237,2,0,283,20
238,2,1,280,20
239,2,0,281,20
240,2,0,283,20
241,2,0,285,20
242,2,0,284,20
243,2,0,282,20
244,2,1,284,20
245,2,1,282,20
246,2,0,279,20
247,2,0,280,20
248,2,1,278,20
249,2,0,277,16
250,2,0,276,16
251,2,0,276,16
252,2,0,273,16
253,2,0,274,16
254,2,0,276,16
255,2,0,277,16
256,2,0,276,16
257,2,0,273,16
258,2,0,275,16
259,2,1,275,19
260,2,0,274,19
261,2,1,268,21
262,2,0,267,21
263,2,0,267,21
264,2,0,267,21
265,2,0,268,21
266,2,0,270,21
267,2,0,267,21
268,2,0,264,21
269,2,0,263,21
270,2,0,265,21
271,2,0,265,21
272,2,0,262,21
273,2,0,263,21
274,2,0,262,21
275,2,0,265,21
276,2,0,263,21
277,2,0,263,21
278,2,0,263,21
279,2,0,262,21
280,2,0,262,21
281,2,0,261,28
282,2,0,264,28
283,2,1,265,28
284,2,0,264,17
285,2,0,267,17
286,2,0,266,17
287,2,0,268,17
288,2,0,267,17
289,2,0,269,17
290,2,0,272,17
291,2,0,274,17
292,2,0,277,17
293,2,0,278,17
294,2,0,278,17
295,2,0,278,17
296,2,0,280,17
297,2,0,280,17
298,2,0,279,17
299,2,1,280,17
300,2,0,283,17
301,2,1,288,17
302,2,0,285,17
303,2,0,284,17
304,2,0,284,17
305,2,0,288,17
306,2,0,289,17
307,2,0,289,17
308,2,0,288,17
309,2,1,289,17
310,2,0,287,17
311,2,0,288,17
312,2,0,293,17
313,2,0,296,25
314,2,0,294,25
315,2,0,295,25
316,2,0,297,25
317,2,0,298,25
318,2,0,297,25
319,2,0,296,25
320,2,1,293,34
321,2,0,292,34
322,2,0,293,34
323,2,0,293,34
324,2,1,292,34
325,2,1,291,34
326,2,1,291,34
327,2,0,290,34
328,2,0,293,34
329,2,0,293,34
330,2,0,294,34
331,2,1,297,34
332,2,0,300,12
333,2,0,300,12
334,2,0,299,12
335,2,0,299,12
336,2,0,299,15
337,2,0,301,15
338,2,0,299,15
339,2,0,297,15
340,2,0,297,15
341,2,0,295,19
342,2,0,295,19
343,2,1,298,19
344,2,0,297,19
345,2,0,297,19
346,2,0,296,19
347,2,0,291,19
348,2,0,293,19
349,2,0,295,20
350,2,0,290,20
351,2,1,292,20
352,2,0,291,20
353,2,0,292,20
354,2,0,289,22
355,2,0,296,22
356,2,0,295,22
357,2,0,296,22
358,2,0,298,22
359,2,0,294,29
360,2,0,296,29
361,2,0,295,29
362,2,0,294,29
363,3,0,292,29
364,3,0,296,29
365,3,0,298,29
366,2,0,299,29
367,3,0,301,29
368,3,0,300,29
369,3,0,299,29
370,3,0,297,30
371,3,0,295,30
372,3,1,296,35
373,3,0,296,35
374,3,1,294,35
375,3,0,294,35
376,3,0,295,35
377,3,0,291,35
378,3,0,293,35
379,3,0,292,35
380,3,0,290,35
381,3,0,293,35
382,3,1,294,35
383,2,3,295,23
384,2,0,291,23
385,2,0,292,23
386,2,0,292,23
387,2,0,295,30
388,2,0,294,30
389,2,1,292,30
390,2,2,294,30
391,2,0,289,19
392,2,0,285,19
393,2,0,284,19
394,2,0,284,19
395,2,1,284,19
396,2,0,285,19
397,2,0,285,19
398,2,0,286,19
399,2,0,289,19
400,2,1,293,19
401,2,0,295,19
402,2,0,295,19
403,2,0,297,20
404,2,0,294,20
405,2,0,298,20
406,2,1,296,20
407,2,0,297,20
408,2,0,295,20
409,2,0,296,20
410,2,0,297,20
411,2,0,300,20
412,2,0,301,20
413,2,0,301,20
414,2,0,298,21
415,2,0,300,21
416,2,0,301,21
417,2,0,301,21
418,2,0,300,23
419,2,0,299,23
420,2,0,298,23
421,2,1,300,24
422,2,0,297,24
423,2,0,299,24
424,2,2,298,24
425,2,0,293,24
426,2,0,286,24
427,2,0,285,30
428,2,0,284,32
429,2,0,282,33
430,2,0,280,35
431,3,0,281,35
432,2,1,282,35
433,3,0,286,35
434,3,0,281,35
435,2,1,283,35
436,2,0,283,35
437,3,0,281,35
438,3,0,275,35
439,3,0,276,35
440,3,0,272,35
441,3,0,274,35
442,3,0,274,35
443,3,0,273,35
444,3,0,275,35
445,3,0,277,35
446,3,0,276,35
447,3,0,277,35
448,3,0,276,38
449,3,0,279,39
450,3,0,281,39
451,3,1,285,39
452,2,2,282,25
453,2,1,279,25
454,2,0,276,25
455,2,1,274,25
456,2,0,276,25
457,2,0,275,25
458,2,0,277,25
459,2,0,273,25
