Time Step,Average droplet size,Rain Count,Total Drops,Max Drop Size
0,2,0,1800,4
1,3,0,1569,9
2,3,0,1431,13
3,3,0,1290,15
4,4,1,1194,17
5,4,0,1117,18
6,4,0,1059,20
7,4,0,1005,21
8,5,2,955,28
9,5,2,898,28
10,5,2,860,28
11,5,0,825,28
12,6,3,786,32
13,6,0,745,38
14,6,1,708,38
15,6,3,684,38
16,7,0,657,38
17,7,1,634,38
18,7,2,611,38
19,7,6,595,39
20,7,5,567,39
21,8,5,545,39
22,8,0,520,38
23,8,0,514,38
24,9,2,497,39
25,9,2,474,42
26,9,2,464,42
27,9,3,450,50
28,9,4,438,50
29,10,4,418,50
30,10,4,408,50
31,10,0,394,50
32,10,5,388,50
33,10,6,379,50
34,10,3,365,50
35,10,4,361,50
36,10,3,351,50
37,10,4,344,50
38,10,6,340,47
39,10,3,337,47
40,10,4,334,47
41,10,1,327,47
42,10,3,325,47
43,10,2,319,47
44,10,1,318,47
45,10,5,317,47
46,10,6,310,47
47,10,4,301,47
48,10,5,297,46
49,10,2,294,51
50,10,4,292,51
51,9,9,290,51
52,9,7,284,54
53,8,6,279,54
54,8,1,277,54
55,8,4,274,54
56,8,8,270,54
57,7,6,261,52
58,7,1,256,45
59,7,4,252,53
60,7,2,248,53
61,7,3,249,53
62,7,1,250,53
63,6,2,247,53
64,6,2,245,53
65,6,3,244,37
66,6,3,242,37
67,6,2,238,37
68,5,3,237,37
69,5,4,236,33
70,5,1,231,33
71,5,2,229,33
72,5,1,231,34
73,5,0,231,34
74,5,0,231,34
75,5,1,232,34
76,5,2,229,33
77,5,1,224,33
78,5,2,221,33
79,4,3,217,33
80,4,1,211,33
81,4,1,208,29
82,4,0,209,29
83,4,1,212,29
84,4,2,213,29
85,4,1,212,29
86,4,0,210,29
87,4,0,209,29
88,4,0,211,29
89,4,0,210,29
90,4,0,211,29
91,4,0,210,29
92,4,2,211,29
93,4,0,212,29
94,4,0,218,29
95,4,0,219,29
96,4,0,224,29
97,4,1,227,29
98,4,1,227,28
99,3,1,230,28
100,3,0,231,28
101,3,1,231,28
102,3,1,230,26
103,3,0,229,26
104,3,0,232,26
105,3,0,238,26
106,3,0,240,26
107,3,1,238,26
108,3,1,235,26
109,3,0,231,26
110,3,0,231,26
111,3,0,231,26
112,3,0,230,26
113,3,0,231,26
114,3,0,230,26
115,3,0,231,26
116,3,0,232,26
117,3,1,236,26
118,3,0,239,26
119,3,0,241,26
120,3,1,242,26
121,3,0,241,26
122,3,1,240,27
123,3,0,237,27
124,3,1,239,27
125,3,1,241,27
126,3,0,241,27
127,3,0,241,27
128,3,1,241,27
129,3,0,243,27
130,3,0,245,27
131,3,0,245,27
132,3,0,244,27
133,3,2,245,27
134,3,2,246,27
135,3,1,243,27
136,3,1,239,27
137,3,3,237,27
138,3,0,233,27
139,3,1,232,28
140,3,0,230,28
141,3,1,230,28
142,3,0,229,28
143,3,2,231,28
144,3,2,230,28
145,3,0,229,32
146,3,0,228,32
147,3,0,234,33
148,3,0,236,33
149,3,0,234,33
150,3,0,236,33
151,3,0,233,33
152,3,1,237,33
153,3,0,234,33
154,3,0,236,33
155,3,0,239,33
156,3,0,234,33
157,3,1,239,33
158,3,0,241,33
159,3,1,239,33
160,3,2,241,26
161,3,0,234,26
162,3,0,234,26
163,3,1,236,26
164,2,1,232,26
165,2,0,233,26
166,2,0,235,26
167,2,0,236,26
168,2,0,235,26
169,3,0,236,26
170,3,0,233,26
171,3,0,234,26
172,2,1,237,26
173,2,0,234,26
174,2,0,233,26
175,2,0,236,26
176,2,0,237,27
177,2,0,236,27
178,2,0,238,27
179,2,0,239,27
180,2,0,243,27
181,2,1,242,27
182,2,0,245,21
183,2,0,245,21
184,2,0,247,21
185,2,0,245,21
186,2,1,247,21
187,2,0,248,21
188,2,0,251,21
189,2,0,250,22
190,2,0,251,22
191,2,0,253,22
192,2,1,254,22
193,2,1,253,21
194,2,0,253,21
195,2,0,254,21
196,2,0,253,21
197,2,0,254,21
198,2,0,257,21
199,2,0,261,21
200,2,1,262,21
201,2,0,264,21
202,2,0,268,21
203,2,0,271,21
204,2,0,271,21
205,2,0,270,21
206,2,0,271,21
207,2,0,269,21
208,2,0,267,23
209,2,0,268,23
210,2,0,269,23
211,2,0,268,23
212,2,0,270,23
213,2,1,269,23
214,2,0,266,23
215,2,0,265,23
216,2,0,267,23
217,2,0,269,23
218,2,0,269,23
219,2,0,270,23
220,2,0,271,23
221,2,0,272,23
222,2,0,273,23
223,2,0,274,23
224,2,1,275,23
225,2,0,274,20
226,2,0,278,20
227,2,0,280,20
228,2,1,278,20
229,2,0,275,11
230,2,0,270,13
231,2,0,270,13
232,2,0,273,13
233,2,0,275,13
234,2,0,276,13
235,2,0,273,13
236,2,0,274,13
237,2,0,273,13
238,2,0,273,13
239,2,0,275,13
