Time Step,Average droplet size,Rain Count,Total Drops,Max Drop Size
0,2,0,5000,4
1,3,0,4367,10
2,3,0,3931,13
3,3,0,3611,18
4,4,1,3356,22
5,4,1,3127,23
6,4,1,2921,27
7,4,2,2768,34
8,5,2,2625,42
9,5,1,2482,42
10,5,2,2365,42
11,5,5,2260,42
12,6,4,2164,42
13,6,6,2061,44
14,6,1,1982,44
15,6,3,1901,44
16,7,5,1830,44
17,7,4,1751,44
18,7,3,1687,49
19,8,5,1619,53
20,8,5,1559,53
21,8,4,1509,55
22,8,3,1464,55
23,8,3,1423,55
24,9,3,1386,55
25,9,2,1346,55
26,9,3,1326,55
27,9,5,1290,56
28,10,2,1242,56
29,10,3,1223,56
30,10,7,1208,56
31,10,6,1176,56
32,10,7,1138,56
33,11,2,1108,56
34,11,4,1085,56
35,11,5,1057,59
36,11,5,1040,59
37,11,6,1020,59
38,12,5,1000,59
39,12,6,975,59
40,12,5,952,59
41,12,8,948,59
42,12,6,924,59
43,12,4,901,59
44,12,4,894,59
45,13,2,888,59
46,12,8,872,59
47,13,5,870,56
48,13,5,849,56
49,13,6,839,58
50,13,7,829,58
51,13,4,813,58
52,13,8,810,58
53,13,14,796,58
54,13,13,783,58
55,13,5,770,58
56,13,4,759,58
57,13,5,755,58
58,13,5,746,58
59,13,8,745,58
60,13,8,736,58
61,13,9,729,58
62,13,7,715,58
63,13,10,715,58
64,13,12,705,58
65,12,8,696,58
66,12,12,693,58
67,12,10,677,58
68,12,5,667,58
69,12,2,666,58
70,12,4,669,58
71,12,4,666,58
72,12,8,668,58
73,12,6,662,58
74,12,10,670,58
75,12,9,657,58
76,12,8,657,58
77,11,6,653,58
78,11,9,654,59
79,11,4,641,59
80,11,7,634,59
81,11,4,629,59
82,11,8,634,59
83,11,12,627,59
84,11,10,619,59
85,11,7,615,64
86,11,17,604,64
87,10,13,589,64
88,10,11,584,64
89,10,7,574,64
90,10,2,575,64
91,10,5,576,64
92,9,6,575,64
93,9,7,577,64
94,9,3,578,64
95,9,5,578,64
96,9,5,580,64
97,9,4,579,64
98,8,4,578,64
99,8,8,581,64
100,8,17,569,64
101,7,16,552,64
102,7,8,542,64
103,7,5,542,64
104,7,1,546,64
105,7,5,550,64
106,7,4,549,64
107,7,7,546,64
108,7,5,546,64
109,7,1,552,64
110,6,5,558,64
111,6,6,554,64
112,6,7,550,64
113,6,5,549,64
114,5,7,550,64
115,5,5,551,64
116,5,3,547,64
117,5,7,550,64
118,5,6,547,54
119,5,0,544,49
120,5,2,549,49
121,5,3,546,49
122,4,5,543,49
123,4,4,540,49
124,4,1,544,49
125,4,5,546,49
126,4,3,542,49
127,4,4,541,35
128,4,0,543,35
129,4,2,550,35
130,4,5,553,35
131,4,3,547,35
132,4,0,552,35
133,4,0,553,35
134,3,2,560,35
135,3,5,559,35
136,3,4,555,31
137,3,2,559,31
138,3,0,561,31
139,3,2,570,31
140,3,1,566,39
141,3,1,565,39
142,3,0,573,39
143,3,1,574,39
144,3,1,578,39
145,3,0,580,39
146,3,0,593,39
147,3,0,599,39
148,3,0,604,39
149,3,0,611,39
150,3,0,614,39
151,3,0,613,39
152,3,1,615,39
153,3,2,623,39
154,3,6,622,39
155,3,0,626,39
156,3,3,622,39
157,3,8,628,39
158,3,2,624,30
159,3,1,618,38
160,3,0,623,38
161,3,0,630,38
162,3,2,632,38
163,3,1,629,39
164,3,1,631,39
165,2,3,630,39
166,2,3,631,39
167,2,3,631,31
168,2,2,635,31
169,2,2,631,31
170,2,1,623,31
171,2,0,626,31
172,2,0,637,31
173,2,0,643,31
174,2,0,643,38
175,2,0,645,38
176,2,0,644,38
177,2,0,643,38
178,2,1,645,38
179,2,0,641,38
180,2,0,636,38
181,2,2,635,38
182,2,0,635,39
183,2,0,632,39
184,2,1,634,39
185,2,3,630,39
186,2,0,630,39
187,2,0,637,39
188,2,0,647,39
189,2,1,647,39
190,2,0,642,39
191,2,0,650,39
192,2,0,657,39
193,2,2,659,39
194,2,0,661,39
195,2,0,663,39
196,2,0,672,39
197,2,1,669,39
198,2,0,668,39
199,2,0,669,39
200,2,0,676,39
201,2,0,681,39
202,2,2,682,39
203,2,0,679,39
204,2,1,679,39
205,2,0,676,39
206,2,0,674,39
207,2,0,684,39
208,2,0,681,39
209,2,1,680,39
210,2,0,678,39
211,2,0,681,39
212,2,0,683,39
213,2,0,690,39
214,2,0,696,39
215,2,0,701,39
216,2,1,699,40
217,2,2,696,40
218,2,2,696,40
219,2,2,695,40
220,2,0,692,40
221,2,0,688,40
222,2,0,692,40
223,2,0,689,40
224,2,1,691,40
225,2,0,695,40
226,2,3,696,40
227,2,0,691,31
228,2,0,692,31
229,2,1,696,31
230,2,0,694,31
231,2,0,691,39
232,2,0,694,39
233,2,0,692,39
234,2,1,693,41
235,2,0,696,41
236,2,1,696,41
237,2,2,693,43
238,2,0,693,43
239,2,1,697,43
240,2,0,704,43
241,2,0,708,43
242,2,0,706,43
243,2,0,708,43
244,2,0,703,43
245,2,0,700,43
246,2,0,699,43
247,2,0,706,43
248,2,0,705,43
249,2,0,707,43
250,2,0,708,43
251,2,0,704,43
252,2,0,700,43
253,2,2,699,43
254,2,0,699,43
255,2,2,699,43
256,2,0,698,43
257,2,2,699,43
258,2,0,704,43
259,2,0,699,43
260,2,0,704,43
261,2,0,707,43
262,2,2,707,43
263,2,2,710,33
264,2,0,713,33
265,2,2,715,33
266,2,0,718,33
267,2,1,718,33
268,2,5,717,33
269,2,2,718,33
270,2,0,721,33
271,2,0,723,33
272,2,0,725,33
273,2,0,727,33
274,2,0,726,34
275,2,0,725,34
276,2,0,733,34
277,2,0,740,34
278,2,1,741,34
279,2,1,739,34
280,2,1,738,35
281,2,2,736,35
282,2,0,735,37
283,2,0,735,37
284,2,0,738,37
285,2,0,740,37
286,2,0,739,38
287,2,2,736,38
288,2,0,736,38
289,2,0,736,38
290,2,0,730,39
291,2,0,734,39
292,2,1,735,39
293,2,0,739,39
294,2,0,743,39
295,2,0,738,39
296,2,0,742,39
297,2,0,747,39
298,2,0,747,39
299,2,1,750,39
300,2,0,743,39
301,2,0,741,39
302,2,0,737,39
303,2,0,735,39
304,2,1,735,40
305,2,2,734,40
306,2,1,736,40
307,2,3,736,32
308,2,2,735,33
309,2,0,727,33
310,2,0,722,33
311,2,0,725,33
312,2,1,726,34
313,2,0,731,34
314,2,1,729,34
315,2,0,721,34
316,2,0,715,34
317,2,0,714,34
318,2,0,715,34
319,2,1,718,34
320,2,1,716,34
321,2,1,716,34
322,2,0,719,34
323,2,1,716,37
324,2,0,716,37
325,2,0,718,37
326,2,0,726,37
327,2,0,726,37
328,2,0,727,37
329,2,0,725,37
330,3,0,727,37
331,3,0,726,37
332,2,1,732,37
333,3,0,731,37
334,2,1,734,37
335,2,0,736,38
336,2,1,736,38
337,2,0,736,38
338,2,0,734,38
339,2,1,729,38
340,2,2,725,38
341,2,3,724,38
342,2,2,722,36
343,2,1,713,36
344,2,0,713,36
345,2,0,715,36
346,2,0,717,36
347,2,1,718,36
348,2,0,717,36
349,2,0,720,41
350,2,0,723,41
351,2,0,730,41
352,2,1,731,41
353,2,1,730,41
354,2,2,731,26
355,2,0,730,26
356,2,0,731,26
357,2,1,733,28
358,2,0,735,28
359,2,0,734,28
360,2,1,738,28
361,2,1,740,28
362,2,0,737,29
363,2,1,740,29
364,2,1,743,29
365,2,2,744,29
366,2,0,745,29
367,2,0,745,29
368,2,1,750,29
369,2,0,748,30
370,2,1,745,30
371,2,0,748,30
372,2,0,748,30
373,2,0,751,30
374,2,1,746,30
375,2,0,748,30
376,2,0,741,30
377,2,1,747,30
378,2,0,748,30
379,2,0,747,30
380,2,1,748,30
381,2,0,750,30
382,2,0,751,30
383,2,0,756,30
384,2,0,760,30
385,2,0,765,30
386,2,0,762,30
387,2,0,766,30
388,2,0,764,30
389,2,0,768,30
390,2,0,768,30
391,2,1,767,30
392,2,2,762,30
393,2,1,761,30
394,2,1,757,30
395,2,0,751,30
396,2,1,754,30
397,2,2,757,30
398,2,0,754,30
399,2,0,750,30
400,2,0,749,30
401,2,0,754,39
402,2,0,755,39
403,2,0,756,40
404,2,1,755,40
405,2,1,751,40
406,2,0,750,40
407,2,0,752,40
408,2,0,757,40
409,2,1,755,40
410,2,0,751,40
411,2,0,750,41
412,2,1,753,41
413,2,0,745,41
414,2,1,746,41
415,2,0,748,41
416,2,0,750,41
417,2,0,752,41
418,2,0,754,41
419,2,1,749,41
420,2,0,760,41
421,2,0,761,41
422,2,0,766,41
423,2,1,768,41
424,2,0,771,41
425,2,0,771,41
426,2,0,770,41
427,2,0,770,41
428,2,1,770,41
429,2,0,770,43
430,2,0,767,43
431,2,0,769,43
432,2,1,770,43
433,2,0,772,43
434,2,0,774,43
435,2,0,777,43
436,2,0,784,43
437,2,0,783,43
438,2,0,790,43
439,2,0,795,43
440,2,0,796,43
441,2,0,803,43
442,3,0,798,43
443,3,0,794,43
444,3,0,789,43
445,3,0,791,43
446,3,0,793,43
447,3,1,795,43
448,3,2,794,38
449,3,3,784,38
450,2,2,781,37
451,3,0,775,37
452,2,0,776,37
453,2,0,782,37
454,3,0,789,41
455,3,1,791,41
456,3,0,787,41
457,3,2,782,41
458,3,2,779,42
459,3,1,772,43
460,2,2,765,43
461,2,1,774,43
462,2,0,777,43
463,2,1,778,43
464,2,0,771,44
465,3,0,773,44
466,3,0,766,44
467,3,0,768,44
468,3,1,771,44
469,3,0,771,44
470,3,0,773,44
471,3,0,775,44
472,3,0,775,44
473,3,0,770,44
474,3,0,774,44
475,3,0,782,44
476,3,0,786,46
477,3,0,788,46
478,3,0,787,46
479,3,0,788,46
480,3,0,795,46
481,3,1,790,46
482,3,0,788,46
483,3,0,797,46
484,3,0,801,46
485,3,3,806,46
486,2,3,802,33
487,3,0,792,33
488,2,1,788,33
489,2,1,792,33
490,2,2,788,33
491,2,1,787,33
492,2,0,791,33
493,2,1,795,39
494,2,0,790,39
495,2,0,796,39
496,2,0,797,39
497,2,0,804,39
498,2,0,806,39
499,3,0,808,40
500,3,0,812,40
501,3,0,803,40
502,3,1,800,40
503,3,0,801,40
504,3,0,797,40
505,3,0,798,40
506,3,0,799,40
507,3,0,805,40
508,3,0,803,40
509,3,0,808,40
510,3,0,805,40
511,3,0,801,40
512,3,1,800,40
513,3,2,796,30
514,3,2,792,30
515,3,3,794,27
516,3,0,792,27
517,3,0,788,28
518,3,0,791,28
519,3,0,791,28
520,3,1,797,28
521,3,0,804,28
522,3,0,793,36
523,3,0,792,36
524,3,2,791,36
525,3,0,790,36
526,3,1,792,36
527,3,0,791,36
528,3,1,790,36
529,3,0,793,36
530,3,1,798,36
531,3,0,799,36
532,3,0,799,36
533,3,0,797,37
534,3,0,791,37
535,3,0,783,40
536,3,0,784,40
537,3,2,781,40
538,3,0,779,40
539,3,2,781,40
540,3,3,776,28
541,3,1,773,28
542,3,3,769,28
543,3,0,771,28
544,3,0,771,28
545,3,1,770,28
546,3,1,771,28
547,3,2,776,28
548,3,0,777,28
549,3,3,776,28
550,3,4,779,28
551,3,0,772,28
552,3,0,770,28
553,3,1,775,28
554,2,1,774,28
555,2,0,776,28
556,3,0,781,28
557,3,0,777,28
558,3,0,781,28
559,3,1,781,28
560,2,1,776,28
561,3,1,777,27
562,3,2,772,27
563,3,1,769,27
564,3,1,771,27
565,3,0,767,27
566,3,0,769,27
567,3,0,770,27
568,3,0,766,27
569,3,0,767,28
570,3,0,770,28
571,3,0,771,28
572,3,0,766,28
573,3,0,768,28
574,3,0,771,28
575,3,0,770,29
576,3,0,778,29
577,3,0,773,29
578,3,0,770,29
579,3,0,770,29
580,3,0,771,29
581,3,0,765,29
582,3,1,766,29
583,3,0,765,29
584,3,2,766,29
585,3,1,764,29
586,3,2,760,29
587,3,1,755,29
588,3,2,751,29
589,3,0,744,29
590,3,1,742,29
591,3,0,740,29
592,3,0,742,29
593,3,2,740,29
594,3,2,740,29
595,3,1,735,29
596,3,1,736,30
597,3,0,737,30
598,3,1,743,30
599,3,2,743,30
600,3,0,739,30
601,3,1,740,30
602,3,0,737,30
603,3,0,740,30
604,3,2,746,30
605,3,0,742,30
606,3,2,742,30
607,3,0,738,31
608,3,0,739,34
609,3,0,743,34
610,3,0,747,34
611,3,0,747,34
612,3,0,747,34
613,3,0,753,34
614,3,0,756,34
615,3,0,755,34
616,3,0,753,34
617,3,0,748,34
618,3,0,746,34
619,3,1,751,34
620,3,0,754,34
621,3,0,759,34
622,3,1,758,34
623,3,0,760,35
624,3,0,768,35
625,3,0,764,35
626,3,1,763,35
627,3,0,763,35
628,3,3,755,35
629,3,0,751,37
630,3,0,753,37
631,3,1,755,37
632,3,1,754,37
633,3,0,754,37
634,3,0,751,37
635,3,1,751,37
636,3,1,752,32
637,3,0,751,32
638,3,1,750,32
639,3,0,749,32
640,3,0,753,33
641,3,0,756,33
642,3,1,757,33
643,3,1,760,33
644,3,0,754,33
645,3,0,764,33
646,3,0,766,33
647,3,1,766,33
648,3,0,766,33
649,3,0,769,33
650,3,1,778,33
651,3,0,777,33
652,3,1,781,33
653,3,0,785,33
654,3,0,787,33
655,3,0,783,33
656,3,2,776,33
657,3,1,767,35
658,3,0,769,35
659,3,0,770,35
660,3,0,771,36
661,3,0,776,36
662,3,2,779,36
663,3,0,780,36
664,3,1,785,36
665,3,0,782,36
666,3,0,783,36
667,3,0,783,36
668,3,0,782,36
669,3,1,779,36
670,3,0,778,36
671,3,1,781,44
672,3,0,777,44
673,3,0,778,44
674,3,0,777,44
675,3,1,773,44
676,3,0,773,44
677,3,0,776,44
678,3,0,782,44
679,3,1,780,44
680,3,3,782,44
681,3,0,777,36
682,3,0,781,36
683,2,2,787,36
684,2,4,785,32
685,2,1,775,32
686,2,0,783,32
687,2,1,782,32
688,2,0,784,32
689,2,0,783,33
690,2,0,787,33
691,2,0,790,33
692,2,0,794,33
693,2,1,795,33
694,2,0,789,33
695,2,0,785,33
696,2,0,789,36
697,2,0,794,36
698,3,0,800,36
699,3,0,794,36
700,2,1,793,36
701,3,0,797,36
702,2,0,797,36
703,3,0,801,36
704,3,0,803,36
705,3,0,807,36
706,3,0,809,36
707,3,0,808,36
708,3,0,803,36
709,3,1,802,36
710,3,0,801,36
711,3,1,794,37
712,3,0,786,37
713,3,0,788,37
714,3,1,790,37
715,3,2,782,37
716,3,0,783,37
717,3,1,782,37
718,3,0,787,37
719,3,0,792,38
720,3,1,794,38
721,3,0,790,38
722,3,1,790,38
723,3,0,794,38
724,3,0,796,38
725,3,0,798,38
726,3,0,796,38
727,3,0,793,38
728,3,0,798,38
729,3,0,806,38
730,3,0,800,38
731,3,0,801,38
732,3,2,795,38
733,3,1,795,38
734,3,0,788,47
735,3,1,783,48
736,3,0,791,48
737,3,2,790,48
738,3,0,789,38
739,3,0,783,38
740,3,0,785,38
741,3,1,776,38
742,3,0,770,39
743,3,0,768,39
744,3,0,768,40
745,3,0,762,40
746,3,0,764,40
747,3,0,767,40
748,3,0,767,40
749,3,1,763,40
750,3,1,760,40
751,3,2,754,40
752,3,0,754,40
753,3,0,757,40
754,3,0,763,40
755,3,1,763,40
756,3,0,771,39
757,3,0,766,39
758,3,0,768,47
759,3,1,770,47
760,3,0,768,56
761,3,0,763,56
762,3,0,764,56
763,3,0,764,56
764,3,0,776,56
765,3,0,773,56
766,3,0,773,56
767,3,1,770,56
768,3,1,772,56
769,3,1,769,56
770,3,1,768,56
771,3,2,768,56
772,3,0,770,56
773,3,1,775,56
774,3,1,770,56
775,3,0,765,37
776,3,0,766,37
777,3,2,775,37
778,3,1,784,37
779,3,0,792,37
780,3,2,789,37
781,3,2,792,37
782,3,2,792,37
783,3,2,796,35
784,3,1,794,35
785,3,1,795,35
786,3,0,795,35
787,3,1,803,35
788,3,0,798,35
789,3,0,802,35
790,3,1,807,35
791,3,2,811,35
792,3,0,810,35
793,3,0,804,35
794,3,0,800,35
795,3,1,805,35
796,3,0,805,35
797,3,1,803,35
798,3,3,802,35
799,3,1,800,35
800,3,1,797,35
801,3,1,791,35
802,3,2,785,36
803,3,3,789,36
804,3,0,788,36
805,3,0,788,36
806,3,0,783,36
807,3,1,785,36
808,3,0,783,36
809,3,0,780,36
810,3,0,783,37
811,3,2,781,38
812,3,0,783,42
813,3,1,786,42
814,3,3,791,42
815,3,0,794,44
816,3,1,801,44
817,3,0,798,44
818,3,0,794,44
819,3,0,795,44
820,3,0,792,44
821,3,0,790,44
822,3,2,789,44
823,3,0,785,40
824,3,0,784,40
825,3,0,774,40
826,3,1,780,40
827,3,2,783,40
828,3,1,783,40
829,3,1,779,40
830,3,0,779,40
831,3,0,779,40
832,3,0,776,40
833,3,1,775,40
834,3,0,777,40
835,3,1,771,41
836,3,0,761,50
837,3,0,760,50
838,3,0,758,50
839,3,0,761,50
840,3,0,766,58
841,3,0,761,58
842,3,1,765,58
843,3,3,770,58
844,3,1,778,58
845,3,2,783,30
846,3,0,777,31
847,3,0,774,31
848,3,0,768,31
849,3,0,770,31
850,3,1,757,31
851,3,0,758,31
852,3,0,756,31
853,3,0,754,31
854,3,0,751,31
855,3,0,758,31
856,3,1,756,31
857,3,0,751,31
858,3,1,754,31
859,3,0,755,31
860,3,2,760,31
861,3,0,758,31
862,3,0,758,31
863,3,0,757,31
864,3,1,760,31
865,3,0,762,31
866,3,0,760,31
867,3,1,760,31
868,3,0,763,31
869,3,0,762,31
870,3,1,766,31
871,3,0,760,31
872,3,0,757,31
873,3,2,755,31
874,3,1,749,31
875,3,0,745,31
876,3,0,748,31
877,3,1,748,31
878,3,0,750,31
879,3,0,750,34
880,3,1,755,36
881,3,0,752,36
882,3,0,754,40
883,3,0,757,40
884,3,0,764,40
885,3,0,766,40
886,3,1,767,40
887,3,2,768,31
888,3,0,765,31
889,3,0,768,35
890,3,0,768,35
891,3,1,769,35
892,3,2,769,35
893,3,1,773,35
894,3,2,771,35
895,3,0,772,35
896,3,1,776,35
897,3,0,779,35
898,3,1,779,35
899,3,1,789,35
900,3,0,793,35
901,3,0,787,35
902,3,0,786,35
903,3,1,785,35
904,3,0,780,41
905,3,4,782,41
906,2,1,781,41
907,2,1,780,31
908,2,1,777,31
909,2,0,777,31
910,2,0,774,31
911,2,1,771,31
912,2,0,766,31
913,2,0,763,31
914,2,0,766,31
915,2,1,763,31
916,2,0,765,35
917,2,0,765,35
918,2,2,762,35
919,2,0,764,35
920,2,1,771,35
921,2,0,766,35
922,2,0,765,35
923,3,0,765,35
924,3,0,763,35
925,3,0,765,35
926,3,0,769,35
927,3,0,770,35
928,3,1,772,40
929,3,0,772,40
930,3,1,775,40
931,3,1,773,40
932,3,2,775,40
933,3,0,772,40
934,3,0,766,40
935,3,0,772,40
936,3,0,776,40
937,3,0,773,40
938,3,0,776,40
939,3,0,774,40
940,3,1,771,40
941,3,1,768,40
942,3,0,770,40
943,3,0,771,40
944,3,1,770,40
945,3,2,772,40
946,3,1,769,40
947,3,3,769,40
948,3,1,761,40
949,3,2,766,40
950,3,1,769,40
951,3,0,766,40
952,3,1,765,40
953,3,1,763,40
954,3,0,761,40
955,3,0,761,48
956,3,0,762,48
957,3,1,760,48
958,3,0,751,48
959,3,0,750,48
960,3,1,747,48
961,3,1,744,49
962,3,1,747,49
963,3,1,752,49
964,3,1,757,49
965,3,0,762,49
966,3,1,761,49
967,3,3,764,49
968,3,0,757,36
969,3,2,760,36
970,2,2,761,34
971,3,0,762,34
972,3,0,760,34
973,3,0,760,34
974,3,0,759,34
975,3,0,761,35
976,3,0,762,35
977,3,0,760,35
978,3,0,758,35
979,3,0,764,35
980,3,1,762,35
981,3,0,763,35
982,3,0,761,35
983,3,0,762,35
984,3,0,769,35
985,3,1,769,35
986,3,0,772,35
987,3,0,780,35
988,3,0,780,35
989,3,1,783,35
990,3,1,782,35
991,3,2,783,35
992,3,0,788,35
993,3,0,793,35
994,3,1,794,36
995,3,0,792,36
996,3,1,795,36
997,3,0,801,36
998,3,1,794,36
999,3,1,796,36
