Time Step,Average droplet size,Rain Count,Total Drops,Max Drop Size
0,2,0,1250,4
1,3,0,1093,8
2,3,0,978,12
3,3,0,902,14
4,4,1,832,19
5,4,0,784,19
6,4,3,727,28
7,4,1,676,28
8,5,0,632,32
9,5,2,602,32
10,5,2,569,40
11,6,0,545,40
12,6,2,522,40
13,6,0,491,45
14,7,0,468,45
15,7,1,447,46
16,7,1,437,46
17,7,1,420,54
18,7,1,405,58
19,8,4,391,58
20,8,0,371,65
21,8,1,360,65
22,8,0,352,65
23,9,3,338,65
24,9,1,327,65
25,9,3,320,65
26,9,1,310,65
27,9,0,304,65
28,9,5,293,65
29,9,6,284,65
30,9,6,270,69
31,9,4,263,69
32,10,1,257,69
33,10,1,249,69
34,10,5,246,69
35,10,3,239,69
36,10,2,235,69
37,10,2,226,77
38,10,1,224,77
39,10,3,223,77
40,10,0,218,80
41,10,1,216,80
42,10,3,220,80
43,10,3,212,80
44,10,4,208,80
45,9,4,202,80
46,9,4,197,63
47,9,7,191,63
48,9,3,186,63
49,8,4,183,63
50,8,7,175,37
51,8,1,168,37
52,7,1,166,37
53,7,3,165,37
54,7,4,162,37
55,7,5,156,39
56,6,2,154,39
57,6,2,151,35
58,6,2,149,35
59,6,1,149,35
60,6,0,146,36
61,6,0,146,36
62,6,4,147,36
63,5,5,143,36
64,5,0,140,29
65,5,0,143,29
66,5,0,144,29
67,5,0,146,29
68,5,0,147,29
69,4,3,151,29
70,4,0,149,29
71,4,2,150,29
72,4,0,151,29
73,4,2,151,29
74,4,0,151,24
75,4,0,150,24
76,4,2,151,24
77,4,0,150,21
78,4,0,152,21
79,4,1,149,21
80,4,1,147,28
81,4,0,151,28
82,4,0,151,28
83,4,0,153,28
84,4,0,151,28
85,4,0,149,28
86,4,0,151,28
87,4,0,150,28
88,4,0,148,28
89,4,0,147,28
90,4,1,146,28
91,4,1,147,28
92,4,0,148,28
93,4,1,149,29
94,4,0,152,29
95,4,1,152,29
96,3,0,149,29
97,3,2,151,29
98,3,0,151,22
99,3,1,151,22
100,3,0,150,22
101,3,0,150,22
102,3,0,151,22
103,3,0,153,22
104,3,2,152,22
105,3,0,153,22
106,3,0,158,22
107,3,0,159,22
108,3,0,160,22
109,3,0,160,23
110,3,0,161,23
111,3,0,161,23
112,3,0,161,23
113,3,1,159,23
114,3,1,156,23
115,3,0,158,23
116,3,0,160,23
117,3,0,160,23
118,3,0,159,23
119,3,0,161,23
120,3,0,164,23
121,3,0,164,24
122,3,0,164,24
123,3,0,164,24
124,3,0,168,26
125,3,0,167,26
126,3,1,170,26
127,3,2,173,22
128,2,0,170,22
129,2,0,171,22
130,2,0,173,22
131,2,0,173,22
132,2,0,173,22
133,2,0,173,22
134,2,0,176,22
135,3,0,176,22
136,3,0,173,22
137,3,0,172,23
138,3,0,173,23
139,3,0,171,23
140,2,1,172,23
141,2,0,171,13
142,2,0,171,13
143,2,0,172,13
144,2,0,173,16
145,2,0,175,16
146,2,0,172,17
147,2,0,175,18
148,2,0,175,18
149,2,0,176,18
150,2,0,178,18
151,2,0,176,19
152,2,1,178,19
153,2,0,177,19
154,2,0,180,19
155,2,0,179,19
156,2,0,180,20
157,2,0,185,20
158,2,0,184,20
159,2,0,185,20
160,2,0,185,20
161,2,1,182,20
162,2,0,181,16
163,2,0,183,16
164,2,0,183,16
165,2,0,183,16
166,2,0,184,16
167,2,0,183,17
168,2,0,183,17
169,2,0,181,17
170,2,0,184,17
171,2,0,186,17
172,2,0,189,17
173,2,0,187,17
174,2,1,190,17
175,2,0,189,17
176,2,0,192,17
