Time Step,Average droplet size,Rain Count,Total Drops,Max Drop Size
0,2,0,1800,4
1,3,0,1544,10
2,3,0,1395,14
3,3,0,1279,16
4,4,0,1193,16
5,4,0,1126,23
6,4,0,1058,23
7,4,1,1011,29
8,4,0,958,34
9,5,1,916,34
10,5,0,876,34
11,5,4,839,34
12,5,1,801,36
13,6,2,762,36
14,6,0,720,36
15,6,2,691,36
16,7,2,662,38
17,7,2,630,39
18,7,2,615,39
19,7,2,591,45
20,8,3,562,45
21,8,0,541,45
22,8,5,534,45
23,8,1,518,51
24,8,3,504,51
25,9,3,481,51
26,9,4,460,51
27,9,2,451,51
28,9,2,442,51
29,9,2,429,51
30,10,1,419,54
31,10,4,411,54
32,10,1,399,54
33,10,5,384,54
34,10,1,376,54
35,10,4,368,56
36,10,3,354,59
37,10,2,345,59
38,10,5,340,59
39,10,6,335,59
40,10,5,323,59
41,10,4,311,61
42,10,3,308,61
43,10,2,303,61
44,10,1,301,61
45,10,3,301,61
46,10,5,298,57
47,10,0,287,57
48,10,3,285,57
49,10,6,282,58
50,10,1,276,58
51,10,3,277,58
52,10,3,269,58
53,10,3,265,58
54,10,1,269,58
55,9,7,273,58
56,9,6,268,58
57,9,2,262,58
58,9,7,256,58
59,8,5,249,58
60,8,5,246,58
61,8,3,246,58
62,8,7,240,58
63,8,2,233,58
64,7,4,232,58
65,7,5,227,40
66,7,3,226,40
67,6,2,226,40
68,6,1,225,40
69,6,1,222,40
70,6,2,220,40
71,6,5,219,36
72,6,3,210,36
73,6,0,207,36
74,6,0,205,39
75,6,2,206,39
76,5,4,210,36
77,5,1,208,36
78,5,2,201,36
79,5,2,200,36
80,5,1,199,36
81,5,1,200,34
82,5,2,198,34
83,5,1,199,34
84,4,2,199,34
85,4,0,197,34
86,4,0,202,34
87,4,0,204,34
88,4,1,205,34
89,4,0,206,34
90,4,0,207,34
91,4,2,210,34
92,4,0,211,34
93,4,0,214,34
94,4,0,213,34
95,4,0,213,34
96,4,1,212,34
97,4,1,209,34
98,4,0,210,34
99,4,0,213,34
100,4,2,212,34
101,4,0,211,34
102,4,0,213,34
103,4,1,217,34
104,4,0,217,34
105,4,0,218,34
106,4,1,219,34
107,4,0,224,34
108,4,0,230,34
109,4,0,231,34
110,4,2,227,34
111,4,2,222,34
112,3,0,220,34
113,4,0,223,34
114,4,0,219,34
115,3,0,223,34
116,3,0,224,34
117,3,2,226,34
118,3,1,224,34
119,3,1,225,34
120,3,2,225,28
121,3,0,222,28
122,3,0,222,28
123,3,0,221,28
124,3,0,219,28
125,3,1,222,28
126,3,2,226,24
127,3,0,224,24
128,3,0,226,24
129,3,0,227,24
130,3,0,227,24
131,3,2,229,24
132,3,0,226,21
133,3,2,226,21
134,3,0,226,21
135,3,0,225,23
136,3,0,226,23
137,3,2,225,23
138,3,0,223,20
139,2,1,229,20
140,2,0,229,20
141,2,0,229,21
142,2,0,229,21
143,2,0,232,21
144,2,0,234,21
145,2,0,237,21
146,3,0,238,21
147,3,0,233,21
148,2,1,232,21
149,2,0,233,21
150,3,0,233,21
151,3,0,231,22
152,2,1,231,22
153,2,0,230,21
154,2,2,231,21
155,2,0,230,13
156,2,0,235,13
157,2,0,237,14
158,2,0,237,14
159,2,0,238,14
160,2,1,237,14
161,2,0,234,14
162,2,0,236,14
163,2,0,238,16
164,2,0,239,16
165,2,1,238,16
166,2,0,240,16
167,2,0,241,17
168,2,0,238,17
169,2,0,239,17
170,2,0,239,22
171,2,0,238,22
172,2,0,246,22
173,2,0,246,22
174,2,0,247,24
175,2,0,247,24
176,2,0,248,24
177,2,0,246,24
178,2,0,248,24
179,2,1,248,24
180,2,0,250,24
181,2,0,251,24
182,2,0,255,24
183,2,0,256,24
184,2,0,255,24
185,2,1,257,24
186,2,0,257,24
187,2,0,258,24
188,2,0,258,24
189,2,0,261,24
190,2,0,264,24
191,2,0,260,24
192,2,0,261,24
193,2,0,262,26
194,2,0,260,26
195,2,0,259,26
196,2,0,258,26
197,2,0,258,26
198,2,0,258,26
199,2,1,258,27
200,2,0,261,27
201,2,1,261,27
202,2,0,257,27
203,2,0,259,27
204,2,0,255,27
205,2,0,253,27
206,2,0,252,27
207,2,0,253,27
208,2,1,254,27
209,2,0,255,27
210,2,1,251,27
211,2,0,252,27
212,2,0,252,27
213,2,0,253,27
214,2,0,254,27
215,2,0,257,27
216,2,0,255,27
217,2,0,258,27
218,2,0,257,27
219,2,0,257,27
220,2,0,258,27
221,2,0,258,27
222,2,0,258,27
223,2,0,260,27
224,2,0,257,27
